"Family","Scientific Name","Common Name","Category","Height","Width","Est Root Vol.","Surface Area (m2)","Field Size Index","Shape/Habit","Est. Crown Clearance (m)","Natural Form","Est. Lifespan (years)","Growth rate","Shade Density","Deciduous","Leaf/Fruit drop","Aspect","Powerlines","Drought","Wind","Salt","Water Req.","Drainage","Soil Types","Root Vigour","Uses","Appeal/Value","Weed Risk","Commercially Available"
"RUTACEAE","Flindersia","Bennett's","Australian",15,6,17,28,90,"Conical/Pyrimidal,Oval",">5m","Low",">50","Slow","Dense","No","Low","Full","No","Low","High","Low","Moderate","Moderate","Loam,Clay","Moderate","Parks","Flowers,Foliage,Attracts","Low","Yes"
"RUTACEAE","Flindersia","Queensland","Australian",16,12,68,113,130,"Broad-domed,Spreading",">5m","Lateral",">50","Moderate","Medium","No","Moderate","Full","No","Low","High","Low","Moderate","Moderate","Loam,Clay","Moderate","Parks","Attracts","Low","Yes"
"RUTACEAE","Flindersia","Cudgerie,Silver","Australian",20,20,207,314,220,"Broad-domed,Spreading",">5m","Lateral",">50","Moderate","Medium","No","Moderate","Full","No","Low","High","Low","Moderate","Moderate","Loam,Clay","Moderate","Parks","Attracts","Low","Yes"
"RUTACEAE","Flindersia","Yellow","Australian",20,8,30,50,160,"Oval,Round",">5m","Low",">50","Slow","Medium","No","Low","Full","No","Low","High","Low","Moderate","Moderate","Loam,Clay","Moderate","Parks","Foliage,Attracts","Low","Yes"
"THEACEAE","Franklinia","Fried","Exotic",6,4,8,13,14,"Round","1.5-3m","Bush",">50","Slow","Medium","No","Low","Full","Yes-Pruned","Moderate","Low","Low","Moderate","Moderate","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Bark/Trunk","Low","Yes"
"OLEACEAE","Fraxinus","Claret","Exotic",12,8,30,50,58,"Round","3-5m","Lateral","25-50","Moderate","Medium","Yes","Low","Full","No","Moderate","Moderate","Low","Moderate","Moderate,Well","Sandy,Loam,Clay","Major","Parks","Foliage,Bark/Trunk","Low","Yes"
"OLEACEAE","Fraxinus","Claret","Exotic",10,8,30,50,40,"Round","1.5-3m","Lateral","25-50","Moderate","Medium","Yes","Low","Full","No","High","High","Low","Moderate","Moderate,Well","Sandy,Loam,Clay","Major","CBD,Parks","Foliage,Bark/Trunk","Low","Yes"
"RUTACEAE","Geijera","Wilga","Australian",8,4,15,25,26,"Round","1.5-3m","Bush","25-50","Slow","Medium","No","Low","Full","Yes-Pruned","High","High","Low","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Foliage,Attracts","Low","Yes"
"RUTACEAE","Geijera","Brush","Trial",12,8,30,50,58,"Broad-domed,Round","1.5-3m","Bush",">50","Moderate","Dense","No","Low","Full","No","High","High","Moderate","Low","Moderate,Well","Sandy,Loam,Clay","Minor","Residential,Parks","Flowers,Foliage,Attracts","Low","No"
"PHYLLANTHACEAE","Glochidion","Cheese","Local",10,8,17,28,40,"Round","1.5-3m","Lateral",">50","Fast","Medium","No","Moderate","Full","No","Moderate","Moderate","Moderate","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Foliage,Attracts","Low","No"
