"Family","Scientific Name","Common Name","Category","Height","Width","Est Root Vol.","Surface Area (m2)","Field Size Index","Shape/Habit","Est. Crown Clearance (m)","Natural Form","Est. Lifespan (years)","Growth rate","Shade Density","Deciduous","Leaf/Fruit drop","Aspect","Powerlines","Drought","Wind","Salt","Water Req.","Drainage","Soil Types","Root Vigour","Uses","Appeal/Value","Weed Risk","Commercially Available"
"RUTACEAE","Melicope","Doughwood","Trial",10,6,17,28,40,"Round","1.5-3m","Bush","25-50","Fast","Medium","No","High","Full","No","Moderate","High","Low","Low","Well","Sand,Loam","Moderate","Parks","Flowers,Attracts","Low","No"
"FABACEAE","Millettia","Indian","Exotic",10,8,30,50,40,"Pendulous,Round","1.5-3m","Lateral","25-50","Fast","Dense","Semi","Moderate","Full","No","Moderate","High","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Foliage,Attracts","High","Yes"
"PRIMULACEAE","Mimusops","Spanish","Australian",15,10,47,78,124,"Broad-domed,Round","1.5-3m","Lateral",">50","Moderate","Dense","No","Low","Full","No","Moderate","High","High","Moderate","Moderate","Sand,Loam","Moderate","Parks","Flowers,","Low","Yes"
"PRIMULACEAE","Myrsine","Brush","Trial",8,4,8,13,26,"Oval","<1.5m","Bush","25-50","Fast","Medium","No","Low","Full","Yes-Pruned","Moderate","High","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Attracts","Low","No"
"NYSSACEAE","Nyssa","Tupelo","Exotic",15,6,17,28,90,"Conical/Pyrimidal,Oval","1.5-3m","Lateral",">50","Slow","Medium","Yes","Moderate","Full","No","High","High","Moderate","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Parks,Wet","Foliage","Low","Yes"
"FABACEAE","Pararchidendron","Snowwood","Trial",10,6,17,28,40,"Round,","3-5m","Low","25-50","Fast","Low","No","Moderate","Full","No","Moderate","Moderate","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Foliage,Attracts","Low","No"
"FABACEAE","Peltophorum","Yellow","Exotic",15,15,106,177,120,"Broad-domed,Spreading","3-5m","Lateral",">50","Fast","Dense","Semi","Moderate","Full","No","Moderate","Moderate","Moderate","High","Moderate,Well","Sand,Loam,Clay","Major","Parks","Flowers","Low","Yes"
"ROSACEAE","Photinia","Red","Exotic",6,4,8,13,9,"Round","<1.5m","Bush",">50","Fast","Dense","No","Low","Full","Yes-Pruned","High","High","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"ANACARDIACEAE","Pistacia","Pistachio","Exotic",8,6,17,28,26,"Round","1.5-3m","Lateral",">50","Slow","Dense","yes","Low","Full","No","High","High","High","Low","Moderate,Well","Sand,Loam","Moderate","CBD,Residential,Parks","Foliage","Low","Yes"
"SAPOTACEAE","Planchonella","Black","Trial",15,6,17,28,90,"Oval","1.5-3m","Low",">50","Slow","Dense","No","Moderate","Full","No","Moderate","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Foliage,Attracts","Low","No"
"PLATANACEAE","Platanus","London","Exotic",20,12,68,113,220,"Broad-domed",">5m","Lateral",">50","Fast","Dense","Yes","High","Full","No","High","High","Low","Low","Moderate,Well","Sand,Loam,Clay","Major","Parks","Foliage,Bark/Trunk","Low","Yes"
"PLATANACEAE","Platanus","Cutleaf","Exotic",15,12,68,113,124,"Broad-domed",">5m","Low",">50","Fast","Dense","Yes","High","Full","No","High","High","Low","Low","Moderate,Well","Sand,Loam,Clay","Major","Parks","Foliage,Bark/Trunk","Low","Yes"
"APOCYNACEAE","Plumeria","Frangipani","Exotic",6,3,4,7,9,"Round,Vase","<1.5m","Multi-trunked,Umbrella-shaped,Vertical/Upright","<25","Slow","Low","Yes","Moderate","Full","Yes-Pruned","Low","Low","High","Moderate","Well","Sand,Loam","Minor","Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"PODOCARPACEAE","Podocarpus","Plum","Trial",15,6,17,28,90,"Conical/Pyrimidal,Oval","3-5m","Bush",">50","Slow","Dense","No","Low","Full","No","High","High","Moderate","Low","Moderate,Well","Sand,Loam","Moderate","CBD,Residential,Parks","Foliage","Low","Yes"
"ESCALLONIACEAE","Polyosma","Featherwood","Trial",10,6,17,28,40,"Conical/Pyrimidal,Oval","<1.5m","Low",">50","Slow","Medium","No","Moderate","Part-shade,Shade","No","Low","Moderate","Low","High","Poor,Moderate,Well","Loam,Clay","Minor","Parks","Foliage,Attracts","Low","No"
"ARALIACEAE","Polyscias","Celerywood","Trial",8,4,8,13,26,"Oval,Spreading",">5m","Multi-trunked,Umbrella-shaped,Vertical/Upright","25-50","Fast","Medium","No","Moderate","Full","No","Low","Low","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Foliage,Attracts","Low","No"
"PODOCARPACEAE","Prumnopitys","Mt","Australian",10,4,8,13,36,"Columnar","<1.5m","Bush",">50","Slow","Medium","No","Low","Full","No","Moderate","High","Low","Moderate","Moderate,Well","Sand,Loam","Minor","Residential,Parks","Foliage","Low","Yes"
"ROSACEAE","Prunus","Floweing","Exotic",3,3,4,7,2,"Broaddomed/Umbrella","<1.5m","Low","25-50","Moderate","Low","Yes","Low","Full","Yes","Moderate","Moderate","Low","Moderate","Moderate,Well","Loam,Clay","Minor","Residential","Flowers","Low","Yes"
"ROSACEAE","Pyrus","Ornamental","Exotic",11,7,23,38,48,"Conical","1.5-3m","Lateral","25-50","Fast","Medium","Yes","Low","Full","No","High","Moderate","Moderate","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","CBD,Residential,Parks","Foliage","Low","Yes"
"ROSACEAE","Pyrus","Ornamental","Exotic",12,10,47,78,79,"Broad-domed","1.5-3m","Lateral","25-50","Fast","Medium","Yes","Low","Full","No","High","Moderate","Moderate","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","CBD,Residential,Parks","Foliage","Low","Yes"
"ROSACEAE","Pyrus","Ornamental","Exotic",10,3,4,7,25,"Columnar","<1.5m","Low","25-50","Fast","Medium","Yes","Low","Full","No","High","Moderate","Moderate","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Foliage","Low","Yes"
"ROSACEAE","Pyrus","Ornamental","Exotic",10,5,20,33,40,"Columnar","1.5-3m","Low","25-50","Moderate","Medium","Yes","Low","Full","No","High","Moderate","Moderate","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Foliage","Low","Yes"
"FAGACEAE","Quercus","Holly","Exotic",15,10,47,78,124,"Broad-domed,Round","1.5m-3m","Bush",">50","Slow","Dense","No","Moderate","Full","No","High","High","Moderate","Low","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Foliage","Low","Yes"
"RUBIACEAE","Randia","Native","Australian",8,3,4,7,16,"Oval","<1.5m","Low","25-50","Moderate","Medium","No","Low","Full","Yes-Pruned","Moderate","Low","Moderate","High","Moderate,Well","Sandy,Loam,Clay","Minor","Residential,Parks","Foliage,Attracts","Low","Yes"
"ANACARDIACEAE","Rhodosphaera","Deep","Australian",12,8,30,50,58,"Round","1.5-3m","Lateral",">50","Slow","Dense","No","High","Full","No","Moderate","Low","Low","High","Moderate,Well","Sandy,Loam","Minor","Residential,Parks","Flowers,Attracts","Low","Yes"
"RUBIACEAE","Rothmannia","September","Exotic",5,4,15,25,10,"Round","<1.5m","Bush","25-50","Moderate","Dense","No","Low","Full","Yes-Pruned","Moderate","Moderate","Moderate","Moderate","Moderate,Well","Loam","Minor","Residential,Parks","Flowers,Foliage,Attracts","Low","No"
"RUTACEAE","Sarcomelicope","Yellow","Trial",12,6,17,28,58,"Round","1.5-3m","Lateral",">50","Moderate","Medium","No","Moderate","Full","No","High","High","Low","Low","Well","Sand,Loam","Moderate","Residential,Parks","Flowers,Bark/Trunk,Attracts","Low","No"
"BIGNONIACEAE","Spathodea","African","Exotic",15,12,68,113,124,"Oval,Round","1.5-3m","Low",">50","Fast","Medium","Semi","Moderate","Full","No","Low","Low","Moderate","Moderate","Well","Sand,Loam","Moderate","Parks","Flowers","High","No"
"BIGNONIACEAE","Spathodea","African","Exotic",15,12,68,113,124,"Oval,Round","1.5-3m","Low",">50","Fast","Medium","Semi","Moderate","Full","No","Low","Low","Moderate","Moderate","Well","Sand,Loam","Moderate","Parks","Flowers","High","No"
"PROTEACEAE","Stenocarpus","Scrub","Trial",8,4,8,13,26,"Oval","<1.5m","Bush",">50","Moderate","Low","No","Low","Full","No","Moderate","Moderate","Low","Low","Well","Sand,Loam","Moderate","Residential,Parks","Flowers,Foliage,Attracts","Low","No"
"PROTEACEAE","Stenocarpus","Firewheel","Australian",10,4,8,13,36,"Oval","1.5-3m","Low","25-50","Slow","Low","No","Low","Full","No","Low","Moderate","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Attracts","Low","Yes"
"MORACEAE","Streblus","Whalebone","Trial",10,6,17,28,40,"Round,Vase","1.5-3m","Low",">50","Slow","Medium","No","Low","Full","No","High","High","Low","Low","Moderate,Well","Sand,Loam","Moderate","Residential,Parks","Foliage,Attracts","Low","No"
"FABACEAE","Styphnolobium","Japanese","Exotic",12,10,47,78,79,"Round,Vase","3-5m","Umbrella-shaped,Vertical/Upright",">50","Moderate","Medium","Yes","Moderate","Full","No","High","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"MYRTACEAE","Syncarpia","Turpentine","Local",20,8,30,50,160,"Broad-domed,Round",">5m","Lateral",">50","Moderate","Dense","No","Low","Full","No","Moderate","High","Low","Low","Poor,Moderate,Well","Sand,Loam,Clay","Major","Parks","Flowers,Bark/Trunk,Attracts","Low","Yes"
"MYRTACEAE","Syzygium","Brush","Local",10,8,30,50,40,"Broad-domed","1.5-3m","Lateral","25-50","Fast","Dense","No","Moderate","Full","No","Moderate","High","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","Parks","Flowers,Attracts","Low","No"
"MYRTACEAE","Syzygium","Brush","Australian",6,3,8,13,9,"Oval","<1.5m","Bush","25-50","Fast","Dense","No","Moderate","Full","No","Moderate","High","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Syzygium","Cascade","Australian",3,3,4,7,2,"Pendulous,Round,Spreading","<1.5m","Bush","25-50","Fast","Dense","No","Moderate","Full","Yes","Low","Moderate","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"MYRTACEAE","Syzygium","Giant","Australian",30,25,295,490,360,"Broad-domed,","1.5m-3m","Umbrella-shaped,Vertical/Upright",">50","Moderate","Dense","No","Moderate","Full","No","Low","Low","Low","High","Moderate","Loam,Clay","Moderate","Parks","Specimen","Low","Yes"
"MYRTACEAE","Syzygium","Small-leaved","Australian",10,6,17,28,40,"Oval","<1.5m","Bush","25-50","Moderate","Medium","No","Moderate","Full","No","Low","Low","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Attracts","Low","Yes"
"BIGNONIACEAE","Tabebuia","Silver","Exotic",8,4,8,13,26,"Oval","3-5m","Lateral",">50","Slow","Medium","Semi","Low","Full","No","High","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers","High","Yes"
"BIGNONIACEAE","Tabebuia","Yellow","Exotic",12,8,30,50,58,"Round","3-5m","Lateral",">50","Slow","Medium","Semi","Low","Full","No","High","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers","High","No"
"BIGNONIACEAE","Tabebuia","White","Exotic",6,4,8,13,9,"Round","1.5-3m","Lateral","25-50","Moderate","Medium","Semi","Low","Full","No","High","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers","High","Yes"
"BIGNONIACEAE","Tabebuia","Pink","Exotic",8,5,20,33,26,"Round","3-5m","Lateral",">50","Slow","Medium","Semi","Low","Full","No","High","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers","High","Yes"
"BIGNONIACEAE","Tabebuia","Rosy","Exotic",10,6,17,28,40,"Round","3-5m","Lateral","25-50","Slow","Medium","Semi","Low","Full","No","High","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers","High","Yes"
"CUPPRESSACEAE","Taxodium","Bald","Exotic",20,8,30,50,160,"Conical/Pyrimidal,Spreading","1.5m-3m","Low",">50","Fast","Low","Yes","Moderate","Full","No","Low","High","Moderate","High","Poor,Moderate,Well","Sand,Loam,Clay","Major","Parks,Wet","Foliage,Bark/Trunk","Low","Yes"
"MELASTOMATACEAE","Tibouchina","Lasiandra","Exotic",6,4,8,13,9,"Round","<1.5m","Bush","<25","Fast","Low","No","Low","Full","Yes-Pruned","Moderate","Low","Low","Moderate","Moderate,Well","Sand,Loam","Minor","Residential,Parks","Flowers","Low","Yes"
"MELIACEAE","Toona","Red","Trial",25,10,47,78,325,"Round,Spreading",">5m","Lateral",">50","Fast","Dense","Yes","Moderate","Full","No","Moderate","Moderate","Low","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Major","Parks","Foliage,Attracts","Low","No"
"MYRTACEAE","Tristaniopsis","Water","Local",10,6,17,28,40,"Round","1.5-3m","Bush","25-50years","Slow","Medium","No","Low","Full","No","Moderate","Moderate","High","High","Poor,Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Tristaniopsis","Water","Australian",8,4,8,13,26,"Oval","<1.5m","Bush","<25","Slow","Medium","No","Low","Full","Yes-Pruned","Moderate","Moderate","High","High","Poor,Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Foliage","Low","Yes"
"ULMACEAE","Ulmus","Chinese","Exotic",18,20,189,314,88,"Broad-domed","1.5-3m","Weeping",">50","Fast","Dense","Yes","High","Full","No","Low","Moderate","Low","Moderate","Moderate","Loam,Clay","Moderate","Parks","Foliage,Bark","Moderate","Yes"
"ULMACEAE","Ulmus","Chinese","Exotic",9,7,23,38,32,"Round","1.5-3m","Lateral",">50","Moderate","Medium","Yes","Moderate","Full","No","Moderate","High","Low","Moderate","Moderate,Well","Sand,Loam","Moderate","CBD,Residential,Parks","Foliage,Bark/Trunk","Low","Yes"
"ULMACEAE","Ulmus","Chinese","Exotic",10,10,47,78,55,"Broad-domed","1.5-3m","Lateral",">50","Moderate","Medium","Yes","Moderate","Full","No","Moderate","High","Low","Moderate","Moderate,Well","Sand,Loam","Moderate","Residential,Parks","Foliage,Bark/Trunk","Low","Yes"
"ULMACEAE","Ulmus","Chinese","Exotic",15,10,47,78,120,"Pendulous,Round","<1.5m","Lateral",">50","Moderate","Medium","Yes","Moderate","Full","No","Moderate","High","Low","Moderate","Moderate,Well","Sand,Loam","Moderate","Parks","Foliage,Bark/Trunk","Low","Yes"
"ADOXACEAE","Viburnum","Sweet","Exotic",6,4,8,13,9,"Round","<1.5m","Bush","25-50","Moderate","Dense","No","Low","Full","Yes-Pruned","Moderate","Moderate","High","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Foliage","Low","Yes"
"LAMIACEAE","Vitex","New","Exotic",12,10,47,78,79,"Round","1.5m-3m","Low",">50","Moderate","Medium","No","Low","Full","No","Moderate","Moderate","High","Moderate","Moderate","Loam","Moderate","Parks","Flowers,Foliage","Low","No"
"MYRTACEAE","Waterhousia","Weeping","Australian",25,20,188,314,188,"Broad-domed,","1.5m-3m","Umbrella-shaped,Vertical/Upright",">50","Moderate","Dense","No","Low","Full","No","Low","Moderate","Moderate","Moderate","Moderate","Loam,Clay","Moderate","Residential,","Foliage","Low","Yes"
"MYRTACEAE","Waterhousea","Weeping","Australian",12,10,47,78,79,"Round","3-5m","Bush","25-50","Fast","Medium","No","Low","Full","No","Low","Moderate","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","CBD,Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"MYRTACEAE","Waterhousea","Weeping","Australian",10,8,30,50,40,"Round","1.5-3m","Bush","25-50","Fast","Medium","No","Low","Full","No","Low","Moderate","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","CBD,Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"MYRTACEAE","Xanthostemon","Golden","Australian",10,6,17,28,40,"Oval","<1.5m","Bush","25-50","Moderate","Low","No","Low","Full","No","Low","Low","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Attracts","Low","Yes"
"SALICACEAE","Xylosma","Shiny","Exotic",5,3,4,7,6,"Oval,Round","<1.5m","Bush","25-50","Fast","Low","No","Low","Full","Yes-Under","High","Moderate","Moderate","Low","Well","Sand,Loam,Clay","Minor","Residential,Parks","Foliage","Low","Yes"
"ULMACEAE","Zelkova","Japanese","Exotic",14,10,47,78,108,"Round,Vase","3-5m","Vertical/Upright","25-50","Fast","Medium","Yes","High","Full","No","Moderate","High","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","CBD,Residential,Parks","Foliage,Bark/Trunk","Low","Yes"
"ULMACEAE","Zelkova","Japanese","Exotic",10,6,17,28,40,"Round,Vase","1.5-3m","Umbrella-shaped,Vertical/Upright","25-50","Fast","Medium","Yes","High","Full","No","Moderate","High","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","CBD,Residential,Parks","Foliage,Bark/Trunk","Low","Yes"
"ULMACEAE","Zelkova","Japanese","Exotic",7,9,38,64,20,"Round,Vase","1.5-3m","Umbrella-shaped,Vertical/Upright","25-50","Fast","Medium","Yes","High","Full","Yes-Pruned","Moderate","High","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","CBD,Residential,Parks","Foliage,Bark/Trunk","Low","Yes"
